Rank,playerId,abbrevName,playerFullName,player,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,fWAR,xWOBADf,wOBA,xWOBA,xAVG,xOBP,OBP,AVG,AB,RPW,RLR,rPOS,BSR,wRAA
1,1141534208,D. Crews,Dylan Crews,Crews,CF,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,17.620,.110,.530,.421,.286,.451,.558,.425,252,3.70,7.15,3.45,.826,53.689
2,1221490176,B. Wilken,Brock Wilken,Wilken,3B,Wake Forest University,WAKE,730373376,Wake Forest,BBC,R,R,16.693,.140,.534,.394,.234,.421,.502,.342,234,3.67,6.75,2.64,.104,51.844
3,1256984064,N. Schanuel,Nolan Schanuel,Schanuel,1B,Florida Atlantic University,FAU,339,Florida Atlantic,BBC,L,R,15.557,.173,.594,.421,.285,.487,.603,.449,196,3.58,5.82,-10.96,.137,60.767
4,1167097088,C. Pagliarini,Charlie Pagliarini,Pagliarini,3B,Fairfield University,FAIR,730380544,Fairfield,BBC,L,R,15.555,.175,.560,.385,.263,.425,.530,.399,193,3.59,5.28,0.47,2.630,47.408
5,1141574912,K. Teel,Kyle Teel,Teel,C,University of Virginia,UVA,5415,Virginia,BBC,L,R,15.164,.131,.481,.351,.277,.362,.476,.409,257,3.51,6.09,11.70,.175,35.227
6,1184585984,J. Wetherholt,J.J. Wetherholt,Wetherholt,DH,West Virginia University,WVU,5327,West Virginia,BBC,L,R,15.098,.124,.529,.404,.314,.395,.504,.441,222,3.60,5.51,3.03,3.706,42.104
7,1136417280,L. Shliger,Luke Shliger,Shliger,C,University of Maryland-College Park,MD,730172928,Maryland,BBC,L,R,15.062,.091,.481,.390,.244,.459,.528,.342,228,3.73,7.07,10.04,.622,38.506
8,1322529280,J. Williams,Jeron Williams,Williams,3B,University of Toledo,TOL,5388,Toledo,BBC,R,R,14.365,.184,.491,.307,.278,.343,.460,.410,222,3.59,5.30,7.14,6.889,32.211
9,1136417024,M. Shaw,Matthew Shaw,Shaw,SS,University of Maryland-College Park,MD,730172928,Maryland,BBC,R,R,14.120,.122,.471,.348,.233,.343,.435,.341,261,3.64,6.58,8.54,2.404,33.869
10,1078211840,B. Mccabe,Ben Mccabe,Mccabe,C,University of Central Florida,UCF,730256640,Central Florida,BBC,R,R,13.825,.026,.495,.468,.340,.439,.467,.374,222,3.53,5.44,8.01,.764,34.530
11,1124466944,N. Lorusso,Nick Lorusso,Lorusso,3B,University of Maryland-College Park,MD,730172928,Maryland,BBC,R,R,13.807,.133,.502,.369,.275,.354,.446,.381,260,3.59,6.28,2.06,.215,41.034
12,1248709120,T. Bazzana,Travis Bazzana,Bazzana,DH,Oregon State University,ORST,3111,Oregon State,BBC,L,R,13.761,.077,.476,.400,.277,.421,.498,.374,238,3.64,6.51,3.19,5.402,34.976
13,1107242752,C. Fisher,Cam Fisher,Fisher,RF,UNC Charlotte,CHAR,730214400,Charlotte,BBC,L,R,13.735,.084,.534,.449,.261,.428,.495,.348,224,3.56,6.08,-7.49,2.123,48.217
14,1237062656,W. Langford,Wyatt Langford,Langford,LF,University of Florida,FLA,730168320,Florida,BBC,R,R,13.706,.214,.527,.314,.172,.341,.500,.376,234,3.64,6.41,-5.92,1.384,48.026
15,1101442048,E. Felix,Edrick Felix,Felix,DH,Florida Gulf Coast University,FGCU,4964,Florida Gulf Coast,BBC,R,R,13.544,.204,.505,.301,.209,.323,.453,.367,226,3.55,5.75,3.42,.157,38.788
16,1237660672,J. Redfield,Joseph Redfield,Redfield,CF,Sam Houston State University,SHSU,5363,Sam Houston State,BBC,L,R,13.271,.044,.506,.461,.360,.443,.487,.410,229,3.65,5.78,2.80,1.895,37.984
17,1190203904,B. Matthews,Brice Matthews,Matthews,SS,University of Nebraska,NEB,4865,Nebraska,BBC,R,R,13.259,.093,.494,.401,.268,.408,.480,.360,197,3.57,5.29,7.28,1.831,32.893
18,1190203648,M. Anderson,Max Anderson,Anderson,SS,University of Nebraska,NEB,4865,Nebraska,BBC,R,R,13.136,.138,.517,.379,.306,.345,.446,.415,234,3.46,5.10,3.24,-.666,37.824
19,1192985088,J. Rivera,Josh Rivera,Rivera,3B,University of Florida,FLA,730168320,Florida,BBC,R,R,13.074,.164,.450,.285,.201,.320,.443,.349,255,3.50,6.32,9.80,1.615,28.020
20,1228132608,T. Troy,Tommy Troy,Troy,SS,Stanford University,STAN,730251264,Stanford,BBC,R,R,12.756,.090,.491,.401,.311,.405,.470,.388,245,3.65,6.14,1.98,1.778,36.617
21,1074568960,N. Fisher,Noah Fisher,Fisher,SS,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,R,R,12.709,.215,.500,.285,.175,.369,.494,.339,192,3.60,5.30,7.14,-.774,34.064
22,1189988352,S. Mongelli,Sam Mongelli,Mongelli,2B,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,R,R,12.585,.129,.485,.356,.316,.418,.482,.391,215,3.68,5.50,6.69,2.800,31.279
23,1101943808,B. Rodden,Brock Rodden,Rodden,2B,Wichita State University,WICH,730203904,Wichita State,BBC,S,R,12.547,.088,.491,.403,.285,.401,.472,.371,221,3.56,5.58,3.46,1.629,34.041
24,1243790592,Q. McDaniel,Quinn McDaniel,McDaniel,2B,University of Maine,ME,730275840,Maine,BBC,R,R,12.536,-,.538,.166,-,.240,.530,.387,163,3.73,4.75,2.70,2.631,36.719
25,1154744576,R. Wilson,Ryan Wilson,Wilson,LF,Davidson College,DAV,730363136,Davidson,BBC,R,R,12.448,.169,.528,.359,.268,.442,.529,.383,183,3.62,5.17,0.40,.198,39.232
26,1204444672,L. Keaschall,Luke Keaschall,Keaschall,2B,Arizona State University,ASU,5035,Arizona State,BBC,R,R,12.371,.158,.493,.334,.234,.336,.442,.356,216,3.49,5.12,3.30,2.398,32.369
27,1283763968,J. Cox,Jonah Cox,Cox,CF,Oral Roberts University,ORU,730180096,Oral Roberts,BBC,R,R,12.275,.123,.464,.341,.290,.361,.460,.402,264,3.52,6.20,3.01,3.019,31.033
28,1141862144,Y. Morales,Yohandy Morales,Morales,3B,University of Miami,MIA,236,Miami,BBC,R,R,12.202,.141,.495,.354,.278,.349,.465,.410,239,3.48,5.52,2.44,-1.134,35.575
29,1273287168,T. White,Tommy White,White,3B,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,12.122,.100,.481,.381,.299,.360,.432,.380,263,3.48,6.04,1.63,-.827,35.302
30,1265207296,A. Valdez,Antonio Valdez,Valdez,3B,UTSA,UTSA,730373120,UTSA,BBC,L,L,12.000,.170,.488,.318,.229,.354,.481,.384,216,3.54,5.51,2.34,1.527,33.160
31,1199944704,P. Eeles,Payton Eeles,Eeles,3B,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,L,R,11.943,.078,.448,.370,.294,.443,.510,.380,234,3.59,6.47,3.66,5.287,27.467
32,1211172608,R. Riggio,Roc Riggio,Riggio,2B,Oklahoma State University,OKST,4245,Oklahoma State,BBC,L,R,11.898,.095,.477,.383,.268,.407,.461,.335,224,3.56,5.87,3.54,.404,32.539
33,1263372288,A. Patrick,Andrew Patrick,Patrick,CF,Wright State University,WRST,5390,Wright State,BBC,R,R,11.879,.045,.463,.418,.273,.384,.422,.319,232,3.58,5.91,3.00,4.630,28.922
34,1307134976,J. Belbin,Jarrod Belbin,Belbin,1B,Campbell University,CAMP,730187776,Campbell,BBC,L,R,11.666,.072,.452,.379,.273,.382,.425,.327,248,3.62,6.53,2.85,4.169,28.639
35,1256936192,J. Gelof,Jake Gelof,Gelof,3B,University of Virginia,UVA,5415,Virginia,BBC,R,R,11.453,.077,.465,.387,.264,.376,.420,.317,252,3.54,6.33,2.60,-.298,31.894
36,1083624704,R. Mcdonald,Ryan Mcdonald,Mcdonald,C,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,11.397,.189,.595,.406,.274,.458,.562,.413,109,3.56,3.05,3.37,2.029,32.173
37,1326873345,B. Arnold,Bryce Arnold,Arnold,2B,Campbell University,CAMP,730187776,Campbell,BBC,R,R,11.317,.101,.449,.348,.243,.346,.418,.326,242,3.52,5.92,7.28,.735,25.866
38,1291818752,B. Taylor,Brayden Taylor,Taylor,SS,Texas Christian University,TCU,5045,TCU,BBC,L,R,11.240,.043,.443,.400,.269,.393,.425,.308,260,3.57,6.65,3.38,2.875,27.185
39,1234855424,D. Cowley,Drew Cowley,Cowley,3B,University of Oregon,ORE,4807,Oregon,BBC,L,R,11.118,.114,.452,.338,.241,.339,.428,.343,245,3.49,5.82,5.69,.769,26.551
40,1268981760,R. Preece,Ryley Preece,Preece,RF,Morehead State University,MORE,730158080,Morehead State,BBC,S,R,11.077,.212,.505,.293,.177,.339,.463,.332,184,3.66,4.92,2.50,.987,32.137
41,1237816320,J. Loynd,Joey Loynd,Loynd,DH,University of Delaware,DEL,730203136,Delaware,BBC,R,R,10.994,.222,.482,.260,.198,.281,.451,.389,234,3.54,5.49,2.24,-.462,31.703
42,1192609792,N. Kurtz,Nick Kurtz,Kurtz,1B,Wake Forest University,WAKE,730373376,Wake Forest,BBC,L,L,10.857,.053,.537,.484,.317,.492,.521,.356,188,3.65,5.53,-10.30,.977,43.449
43,1092712704,G. Tatrow,Grayson Tatrow,Tatrow,CF,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,R,10.835,.087,.533,.447,.311,.421,.474,.375,208,3.55,5.27,-8.02,-.590,41.827
44,1180839168,K. Dubrule,Kevin Dubrule,Dubrule,SS,Army West Point,ARMY,4744,Army,BBC,R,R,10.818,.098,.465,.367,.335,.387,.461,.419,217,3.45,5.02,7.42,-1.139,26.049
45,1245220096,E. O'donnell,Ethan O'donnell,O'donnell,CF,University of Virginia,UVA,5415,Virginia,BBC,L,R,10.581,.113,.442,.329,.244,.356,.448,.354,254,3.53,6.46,3.16,1.458,26.283
46,1250752768,J. Rainess,Jake Rainess,Rainess,3B,University of Maine,ME,730275840,Maine,BBC,R,R,10.538,-,.477,.128,-,.183,.454,.331,178,3.70,4.77,6.30,2.586,25.328
47,1310273536,J. Thomason,Jay Thomason,Thomason,3B,Air Force Academy,AFA,730205440,Air Force,BBC,L,R,10.509,.181,.497,.316,.197,.314,.445,.352,199,3.50,4.85,1.79,-1.312,31.461
48,1240947456,C. Davis,Chase Davis,Davis,DH,University of Arizona,ARIZ,232,Arizona,BBC,L,L,10.495,.044,.515,.471,.326,.457,.487,.364,217,3.62,5.76,-7.98,-.142,40.385
49,1162535168,M. Sirota,Mike Sirota,Sirota,RF,Northeastern University,NE,343,Northeastern,BBC,R,R,10.490,-.012,.478,.490,.372,.501,.471,.335,191,3.64,5.12,2.55,2.637,27.847
50,1329113088,B. Ware,Bryson Ware,Ware,2B,Auburn University,AUB,5466,Auburn,BBC,R,R,10.462,.076,.488,.412,.305,.399,.436,.350,203,3.58,5.15,2.22,-.521,30.640
51,1276589568,D. Dickerson,Dustin Dickerson,Dickerson,SS,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,R,R,10.444,.096,.420,.324,.257,.355,.419,.332,265,3.44,6.25,9.10,.581,19.978
52,1207773440,G. Jay,Grant Jay,Jay,DH,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,10.426,.100,.492,.391,.238,.374,.443,.324,182,3.49,4.67,0.95,1.514,29.263
53,1237197568,A. Rios,Alberto Rios,Rios,C,Stanford University,STAN,730251264,Stanford,BBC,R,R,10.351,.090,.499,.409,.310,.422,.483,.383,240,3.55,6.03,-7.94,-.558,39.190
54,1188137984,A. Deming,Austin Deming,Deming,3B,Brigham Young University,BYU,730257152,BYU,BBC,R,R,10.350,.070,.548,.478,.355,.419,.463,.406,155,3.59,3.73,1.76,.075,31.593
55,1332656128,L. Harrill,Lawson Harrill,Harrill,RF,Campbell University,CAMP,730187776,Campbell,BBC,R,R,10.330,.129,.511,.381,.243,.373,.473,.367,210,3.54,5.41,-7.88,1.082,37.906
56,1084702976,M. Horvath,Mac Horvath,Horvath,3B,University of North Carolina,UNC,730181888,North Carolina,BBC,R,R,10.278,.112,.469,.357,.241,.358,.415,.309,223,3.60,5.71,-1.20,3.294,29.236
57,1273286656,C. Shelton,Colby Shelton,Shelton,SS,University of Alabama,ALA,730206976,Alabama,BBC,L,R,10.277,.111,.478,.367,.229,.359,.420,.303,201,3.41,4.90,1.85,-.252,28.515
58,1158048768,J. Payton,Jack Payton,Payton,C,University of Louisville,LOU,5467,Louisville,BBC,R,R,10.249,.087,.475,.387,.293,.403,.472,.376,178,3.45,4.33,5.72,1.073,24.223
59,1303181056,J. Johnson,Justin Johnson,Johnson,SS,Wake Forest University,WAKE,730373376,Wake Forest,BBC,R,R,10.240,.090,.438,.349,.251,.362,.422,.324,238,3.47,5.94,4.34,1.610,23.628
60,1215746048,J. Gray,Jackson Gray,Gray,CF,University of Kentucky,UK,5362,Kentucky,BBC,L,R,10.212,.107,.453,.346,.234,.408,.491,.341,217,3.58,6.01,3.00,.609,26.974
61,1162514176,C. Condon,Charlie Condon,Condon,DH,University of Georgia,UGA,226,Georgia,BBC,R,R,10.149,.091,.534,.443,.303,.410,.480,.386,207,3.55,5.12,-9.15,-.807,40.825
62,1222373120,N. Lucky,Nick Lucky,Lucky,LF,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,L,R,10.138,.094,.439,.346,.219,.371,.446,.314,220,3.50,5.77,2.95,3.781,22.982
63,1284121856,A. DiSpigna,Angelo DiSpigna,DiSpigna,1B,Georgia Tech,GT,100,Georgia Tech,BBC,L,R,10.129,.114,.503,.389,.273,.413,.513,.398,216,3.52,5.55,-8.38,1.125,37.335
64,1178123264,G. O'ferrall,Griff O'ferrall,O'ferrall,SS,University of Virginia,UVA,5415,Virginia,BBC,R,R,10.115,.109,.414,.305,.275,.347,.453,.396,273,3.58,6.57,9.10,2.039,18.474
65,1142708224,C. Moore,Christian Moore,Moore,DH,University of Tennessee,TENN,730153728,Tennessee,BBC,R,R,10.062,.069,.448,.379,.257,.406,.446,.308,211,3.50,5.56,3.66,1.750,24.244
66,1256935168,J. Deleo,Jake Deleo,Deleo,LF,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,10.023,.081,.452,.372,.305,.373,.428,.367,245,3.51,5.74,2.85,.491,26.086
67,1184453120,C. Messina,Cole Messina,Messina,DH,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,R,10.017,.070,.437,.367,.242,.373,.419,.299,221,3.48,5.56,6.56,1.087,21.690
68,1128861696,J. Brock,Julian Brock,Brock,DH,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,R,R,10.003,.054,.422,.368,.260,.389,.430,.311,212,3.43,5.33,11.16,.144,17.662
69,1100775680,C. Cannarella,Cam Cannarella,Cannarella,RF,Clemson University,CLEM,730358784,Clemson,BBC,L,R,9.984,.113,.446,.333,.291,.377,.467,.394,246,3.61,6.04,2.95,1.965,25.095
70,1258110720,H. Povey,Harrison Povey,Povey,LF,Florida Gulf Coast University,FGCU,4964,Florida Gulf Coast,BBC,L,R,9.895,.105,.464,.359,.238,.372,.430,.309,220,3.59,5.73,1.47,.042,28.275
71,1113765632,D. Melfi,David Melfi,Melfi,C,Wagner College,WAG,730192640,Wagner,BBC,R,R,9.876,.208,.440,.232,.146,.256,.428,.345,197,3.44,4.65,9.54,.825,18.998
72,1194336768,T. Hawke,Tommy Hawke,Hawke,LF,Wake Forest University,WAKE,730373376,Wake Forest,BBC,L,R,9.867,.118,.426,.309,.236,.362,.461,.356,267,3.55,6.68,3.30,2.440,22.566
73,1305605120,A. Blake,Andy Blake,Blake,DH,Columbia University,CLMB,730319104,Columbia,BBC,R,R,9.781,.136,.461,.325,.269,.345,.433,.369,198,3.58,4.70,6.16,1.459,22.689
74,1141945088,H. Haas,Hunter Haas,Haas,SS,Texas A&M University,TXAM,3032,Texas A&M,BBC,R,R,9.774,.079,.419,.340,.250,.389,.447,.322,245,3.45,6.16,8.96,-.689,19.323
75,1155640832,N. Humphreys,Nathan Humphreys,Humphreys,RF,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,L,R,9.736,.136,.460,.324,.231,.343,.445,.351,202,3.54,4.94,2.65,2.910,23.944
76,1283714816,P. Glasser,Phillip Glasser,Glasser,SS,"Indiana University, Bloomington",IND,4866,Indiana,BBC,L,R,9.704,.094,.415,.321,.265,.360,.438,.356,261,3.57,6.40,8.54,1.269,18.389
77,1140416768,A. Brinling,Austin Brinling,Brinling,CF,University of North Florida,UNF,730296832,North Florida,BBC,L,L,9.697,.015,.459,.444,.402,.514,.506,.393,196,3.59,5.18,2.55,2.643,24.425
78,1116116736,J. Ross,Jackson Ross,Ross,3B,Florida Atlantic University,FAU,339,Florida Atlantic,BBC,R,R,9.624,.111,.445,.334,.254,.361,.440,.349,235,3.45,5.73,2.36,.537,24.573
79,1306506240,C. Becker,Cole Becker,Becker,SS,Morehead State University,MORE,730158080,Morehead State,BBC,R,R,9.565,.217,.439,.222,.164,.275,.430,.345,177,3.38,4.14,7.00,4.073,17.112
