Count,Outs,Pitcher,Batter,Type,PitchResult,Vel,Spin,ExitVel,LaunchAng,pCallStrk%
1-2,1,T. Weston (CP),J. Sundstrom (UCSB),Changeup,Single on a Line Drive,77.9,1752,87.3,19.3,14.50%
0-2,2,T. Weston (CP),A. Parker (UCSB),Changeup,Double on a Line Drive,76.5,1732.2,98.7,14.8,25.00%
1-2,2,T. Weston (CP),Z. Darby (UCSB),Sinker,Ground Out,85.5,2327.3,100.2,-15.5,96.90%
2-2,0,T. Weston (CP),C. Kirtley (UCSB),Changeup,Fly Out,84.3,2284.2,101.7,32.7,25.80%
0-0,0,T. Weston (CP),N. Oakley (UCSB),Changeup,Single on a Ground Ball,78.3,2383.5,86.2,-28.3,97.40%
1-0,0,T. Weston (CP),L. Mccollum (UCSB),Changeup,Single on a Line Drive,78.1,2449.2,75.2,20.8,97.20%
3-2,0,T. Weston (CP),J. Sundstrom (UCSB),Changeup,Pop Out,78,1755.4,71,56.6,65.60%
0-2,1,T. Weston (CP),A. Parker (UCSB),Slider,Pop Out,80.2,2440.6,78.1,64.8,66.40%
1-1,2,T. Weston (CP),Z. Darby (UCSB),Changeup,Single on a Line Drive,78.1,1780.4,90.2,18.1,81.70%
0-2,1,J. Wright (CP),A. Parker (UCSB),Fastball,Hit By Pitch,91.4,2693.2,47.3,16.9,0.00%
0-0,2,J. Wright (CP),C. Kirtley (UCSB),Fastball,Single on a Line Drive,91.1,2698.6,98.4,6.2,97.50%
3-2,0,J. Wright (CP),C. Nunez (UCSB),Fastball,Ground Out,90.6,2695.5,92.2,-14.1,98.20%
3-1,0,J. Wright (CP),J. Sundstrom (UCSB),Fastball,Ground Out,89.1,2614.8,100.3,-4,96.30%
1-1,1,J. Wright (CP),C. Nunez (UCSB),Cutter,Single on a Line Drive,88.3,2577.4,100.9,11.4,97.10%
3-2,2,K. Scott (CP),A. Parker (UCSB),Curveball,Home Run on a 401.53 ft Fly Ball,80.7,2209.4,97,29.5,97.50%
1-1,2,K. Scott (CP),Z. Darby (UCSB),Curveball,Ground Out,81.6,2447.7,86.3,-23.4,34.30%
3-2,1,S. Brooks (CP),Z. Darby (UCSB),Fastball,Home Run on a 412.65 ft Fly Ball,90.9,2106.7,93.9,34.4,42.00%
1-2,1,S. Brooks (CP),J. Sundstrom (UCSB),Cutter,Fly Out,86.3,2400.7,87.2,59.7,95.50%
0-0,0,S. Brooks (CP),B. Mortensen (UCSB),Fastball,Ground Out,89,2237.6,86.7,-0.1,92.30%
0-1,1,S. Brooks (CP),J. Newman jr. (UCSB),Fastball,Single on a Line Drive,89.2,2272.4,75,11.6,88.30%
2-2,1,S. Brooks (CP),L. Mccollum (UCSB),Sinker,Ground Out,90,2169.1,86.7,-21.9,97.40%
1-1,2,S. Brooks (CP),N. Oakley (UCSB),Fastball,Single on a Ground Ball,88.2,2314.8,89.6,1,96.20%
1-2,2,S. Brooks (CP),C. Nunez (UCSB),Fastball,Single on a Line Drive,87,2357.8,98.8,9.9,95.30%
0-0,2,S. Brooks (CP),C. Kirtley (UCSB),Fastball,Fielder's Choice,87.5,2420.9,86.7,-20.7,98.80%
2-0,0,S. Brooks (CP),Z. Darby (UCSB),Cutter,Fly Out,86.2,2345.2,98.9,39.3,79.40%
1-0,2,S. Brooks (CP),I. Brethowr (UCSB),Cutter,Ground Out,86.1,2330.3,65.8,-30.2,98.40%
1-2,0,S. Brooks (CP),B. Mortensen (UCSB),Changeup,Home Run on a 412.45 ft Fly Ball,83,1236.1,103.6,27,94.30%
3-2,1,S. Brooks (CP),L. Mccollum (UCSB),Fastball,Ground Out,90.9,2278.6,86.8,-10,92.50%
3-1,0,S. Brooks (CP),C. Nunez (UCSB),Sinker,Ground Out,88.3,2188.1,75.3,-1.7,39.00%
3-2,1,S. Brooks (CP),C. Kirtley (UCSB),Fastball,Single on a Line Drive,90.1,2218.5,103.8,16.8,77.50%
2-1,1,R. Baum (CP),Z. Darby (UCSB),Fastball,Pop Out,88.5,2023.4,84,67.8,95.60%
1-0,2,R. Baum (CP),J. Sundstrom (UCSB),Curveball,Ground Out,78.2,2022.1,97,-11.1,97.80%
