Rank,playerId,abbrevName,playerFullName,player,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,wOBA,xWOBA,xAVG,xOBP,OBP,AVG,AB,wSB,wOBA.,fWAR,RPW,RLR,rPOS,BSR,wRAA
1,1198460928,J. Simons,Jacob Simons,Simons,CF,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,R,R,.465,.268,.168,.286,.441,.348,181,1.424,22,8.771,3.52,4.40,2.21,1.901,22.383
2,1162557696,A. Camarillo,Ali Camarillo,Camarillo,2B,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,R,R,.444,.277,.240,.300,.424,.378,172,.032,17,8.057,3.38,3.86,6.16,.474,16.718
3,1192238080,C. Burns,Connor Burns,Burns,C,Long Beach State University,LBSU,730224128,Long Beach State,BBC,R,R,.411,.281,.196,.273,.373,.309,194,-.540,13,7.911,3.33,4.40,9.72,-.468,12.719
4,1174785536,A. Parker,Aaron Parker,Parker,C,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,.420,.324,.234,.338,.409,.316,171,.242,13,7.098,3.33,3.91,6.93,-.232,13.026
5,1303057920,J. Sundstrom,Jared Sundstrom,Sundstrom,LF,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,.440,.397,.279,.359,.396,.321,168,1.094,16,6.718,3.39,3.84,1.77,1.293,15.880
6,1309282816,M. Fuhrman,Michael Fuhrman,Fuhrman,C,UC San Diego,UCSD,730348032,UC San Diego,BBC,R,R,.420,.364,.221,.383,.438,.292,161,.850,13,6.149,3.45,4.21,2.09,1.477,13.420
7,1197006849,J. Oyama,Joichiro Oyama,Oyama,2B,UC Irvine,UCI,3031,UC Irvine,BBC,L,R,.402,.429,.347,.443,.422,.322,208,1.399,13,6.081,3.52,5.35,1.82,1.526,12.705
8,1237027328,A. Martinez,Anthony Martinez,Martinez,1B,UC Irvine,UCI,3031,UC Irvine,BBC,L,R,.459,.449,.377,.454,.467,.393,229,-.678,27,6.000,3.48,5.64,-10.45,-1.610,27.313
9,1174784768,R. Stafford,Ryan Stafford,Stafford,DH,Cal Poly,CP,5487,Cal Poly,BBC,R,R,.382,.286,.237,.325,.384,.306,216,.593,8,5.570,3.42,5.05,5.38,.751,7.845
10,1111437056,C. Kendle,Caden Kendle,Kendle,RF,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,.419,.330,.242,.359,.437,.338,228,.556,18,5.518,3.63,5.94,-5.04,1.216,17.902
11,1139926272,M. Wong,Matt Wong,Wong,CF,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,R,R,.414,.359,.277,.355,.401,.330,182,-.564,12,5.173,3.44,4.18,1.87,-.539,12.303
12,1142522368,C. Call,Chase Call,Call,RF,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,.421,.383,.218,.427,.460,.264,174,.149,16,5.042,3.45,4.94,-3.55,-.085,16.101
13,1288961024,G. Tarlow,Graysen Tarlow,Tarlow,C,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,R,R,.378,.277,.211,.330,.417,.318,170,1.209,6,4.708,3.43,4.25,5.18,.959,5.779
14,1330098177,W. Gleed,William Gleed,Gleed,3B,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,.365,.277,.222,.319,.383,.298,215,-.225,4,4.638,3.33,5.00,7.56,-1.211,4.087
15,1340468992,J. Long,Jonathon Long,Long,1B,Long Beach State University,LBSU,730224128,Long Beach State,BBC,R,R,.422,.368,.253,.353,.401,.310,210,-.189,16,4.510,3.36,4.87,-6.58,.401,16.466
16,1302630656,T. Mccaffrey,Thomas Mccaffrey,Mccaffrey,C,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,.392,.238,.145,.253,.408,.333,129,-.150,6,4.419,3.32,3.12,5.04,.125,6.404
17,1136002816,M. Halbach,Matt Halbach,Halbach,1B,UC San Diego,UCSD,730348032,UC San Diego,BBC,R,R,.393,.350,.265,.369,.409,.313,195,-.369,9,4.344,3.40,4.58,1.27,-.521,9.428
18,1213655552,D. Duarte,Dallas Duarte,Duarte,C,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,R,R,.369,.361,.282,.419,.399,.257,140,-.699,3,4.060,3.39,3.56,7.16,-.381,3.438
19,1205939968,M. Kurata,Matt Kurata,Kurata,3B,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,R,R,.381,.296,.269,.341,.424,.363,146,.242,5,3.769,3.26,3.15,5.56,-1.469,5.035
20,1079912960,M. Guzman,Moises Guzman,Guzman,CF,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,R,R,.371,.310,.186,.371,.425,.257,167,1.013,5,3.737,3.39,4.39,2.45,1.208,4.617
21,1318244096,J. Steels,Jacob Steels,Steels,CF,Cal Poly,CP,5487,Cal Poly,BBC,R,R,.381,.305,.233,.366,.441,.324,176,-.144,6,3.676,3.50,4.39,2.20,-.142,6.416
22,1286070016,Z. Lew,Zach Lew,Lew,2B,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,R,R,.369,.288,.185,.323,.391,.269,208,-.037,5,3.481,3.40,5.25,2.07,-.594,5.116
23,1174787072,Z. Darby,Zander Darby,Darby,3B,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,L,R,.364,.293,.212,.324,.385,.285,200,-.143,4,3.156,3.38,4.76,2.08,.180,3.656
24,1111880448,W. Bermudez,Will Bermudez,Bermudez,2B,UC Irvine,UCI,3031,UC Irvine,BBC,S,R,.360,.326,.221,.396,.420,.253,170,-.030,3,3.152,3.45,4.67,2.94,.632,2.626
25,1162593536,S. Sakaino,Shunsuke Sakaino,Sakaino,2B,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,L,R,.366,.321,.262,.383,.425,.313,166,.610,3,3.100,3.39,4.10,2.64,.345,3.434
26,1083912192,E. Gonzalez,Emiliano Gonzalez,Gonzalez,C,UC San Diego,UCSD,730348032,UC San Diego,BBC,R,R,.347,.254,.206,.289,.353,.279,147,-.129,0,3.019,3.33,3.30,7.38,-.696,.059
27,1139711744,L. Spillane,Luke Spillane,Spillane,CF,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,.375,.315,.265,.388,.415,.299,137,.686,4,3.008,3.39,3.62,2.05,.080,4.452
28,1123958016,I. Brethowr,Ivan Brethowr,Brethowr,RF,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,.405,.363,.259,.361,.401,.306,170,-.095,10,2.961,3.34,3.86,-4.16,.111,10.081
29,1278282752,A. Gouveia,Alex Gouveia,Gouveia,2B,UC Davis,UCD,730153984,UC Davis,BBC,R,R,.359,.267,.256,.292,.356,.327,199,.479,2,2.852,3.26,4.12,2.94,-.114,2.332
30,1220004608,K. Fitzer,Kevin Fitzer,Fitzer,1B,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,R,R,.407,.332,.284,.362,.411,.341,170,1.002,11,2.824,3.36,3.92,-6.16,1.208,10.522
31,1203894784,J. Sebring,Jonah Sebring,Sebring,SS,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,.388,.275,.248,.300,.371,.324,108,1.167,4,2.682,3.43,2.34,1.33,1.360,4.185
32,1122167808,M. Le,Mason Le,Le,2B,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,R,R,.362,.261,.221,.297,.372,.304,148,1.294,2,2.592,3.36,3.29,1.56,1.643,2.208
33,1320425472,C. Villegas,Collin Villegas,Villegas,LF,Cal Poly,CP,5487,Cal Poly,BBC,R,R,.375,.307,.220,.316,.355,.266,207,.229,6,2.419,3.35,4.75,-3.26,.580,6.029
34,1126406400,A. Casillas,Aaron Casillas,Casillas,SS,Cal Poly,CP,5487,Cal Poly,BBC,R,R,.330,.241,.237,.274,.359,.327,220,-.391,-4,2.319,3.20,4.43,7.42,-.902,-3.528
35,1188283648,J. Wright,Joey Wright,Wright,SS,UC Davis,UCD,730153984,UC Davis,BBC,R,R,.322,.252,.184,.309,.361,.246,175,.049,-5,2.289,3.25,4.06,7.28,.731,-4.632
36,1223396608,S. Miyao,Stone Miyao,Miyao,2B,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,L,R,.362,.259,.188,.317,.404,.293,133,-.708,2,2.285,3.18,3.02,2.34,-.190,2.097
37,1079913216,P. Hackworth,Patrick Hackworth,Hackworth,RF,UC San Diego,UCSD,730348032,UC San Diego,BBC,L,L,.395,.386,.333,.465,.458,.325,151,-.174,8,2.216,3.39,3.88,-4.93,.186,8.377
38,1099364352,C. Hendriks,Cody Hendriks,Hendriks,3B,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,R,R,.368,.315,.276,.375,.423,.333,93,.277,2,1.965,3.24,2.11,2.24,-.045,2.066
39,1318507776,J. Newman jr.,John Newman jr.,Newman jr.,C,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,.369,.328,.215,.383,.420,.261,88,.293,2,1.958,3.19,2.12,1.54,.408,2.190
40,1174904320,J. Quandt,Jared Quandt,Quandt,RF,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,S,R,.403,.301,.180,.340,.432,.297,118,-.318,7,1.913,3.31,2.87,-4.10,.142,7.413
41,1114484480,C. Robinson,Crew Robinson,Robinson,2B,UC San Diego,UCSD,730348032,UC San Diego,BBC,L,R,.354,.285,.183,.293,.372,.277,130,.490,1,1.891,3.25,2.97,1.84,.313,1.025
42,1130289408,R. Fenn,Ryan Fenn,Fenn,PR,Cal Poly,CP,5487,Cal Poly,BBC,R,R,.355,.281,.272,.328,.395,.348,158,-.107,1,1.890,3.37,3.64,1.88,-.403,1.256
43,1303037440,J. Kramer,Joey Kramer,Kramer,DH,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,R,R,.403,.254,.147,.276,.381,.271,107,.098,6,1.878,3.39,2.53,-2.29,-.169,6.306
44,1225480704,B. Mortensen,Broc Mortensen,Mortensen,RF,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,L,R,.399,.331,.201,.347,.392,.257,136,-.322,8,1.857,3.31,3.36,-5.36,.208,7.946
45,1116314880,C. Connor,Caden Connor,Connor,CF,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,L,L,.396,.296,.234,.331,.414,.333,222,-.611,12,1.721,3.33,5.27,-10.64,-.658,11.754
46,1099160832,B. Larson,Brandon Larson,Larson,1B,UC San Diego,UCSD,730348032,UC San Diego,BBC,L,R,.380,.365,.240,.303,.354,.297,145,-.117,5,1.655,3.24,3.06,-1.66,-.692,4.655
47,1125325824,K. Donahue,Kyson Donahue,Donahue,1B,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,L,L,.360,.393,.315,.379,.359,.292,171,-.147,2,1.582,3.29,3.80,-0.94,.063,2.283
48,1330455040,D. Stone,Damian Stone,Stone,LF,UC Davis,UCD,730153984,UC Davis,BBC,S,R,.370,.369,.280,.374,.395,.304,184,-1.083,4,1.537,3.33,4.23,-3.16,-.366,4.406
49,1284929792,M. Latta,Maddox Latta,Latta,2B,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,R,R,.337,.260,.225,.296,.349,.285,172,-.140,-2,1.465,3.28,3.88,2.70,.074,-1.856
50,1318237440,J. Gallagher,Jack Gallagher,Gallagher,DH,UC Davis,UCD,730153984,UC Davis,BBC,R,R,.343,.271,.148,.244,.307,.219,146,-.102,-1,1.370,3.26,3.18,2.17,-.217,-.655
51,1242045952,C. Urman,Cole Urman,Urman,DH,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,R,R,.300,.203,.186,.227,.305,.272,184,.075,-9,1.325,3.31,3.98,8.46,.564,-8.619
52,1257421568,C. Nunez,Corey Nunez,Nunez,SS,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,.309,.245,.207,.284,.330,.258,178,-.140,-7,1.028,3.19,3.78,7.28,-1.042,-6.740
53,1180845312,K. Ashworth,Kyle Ashworth,Ashworth,CF,Long Beach State University,LBSU,730224128,Long Beach State,BBC,S,R,.331,.258,.218,.315,.385,.301,163,-.376,-3,1.001,3.29,3.76,2.45,-.197,-2.724
54,1179430400,N. Nankil,Nate Nankil,Nankil,RF,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,R,R,.369,.293,.250,.321,.380,.316,237,.013,5,.931,3.35,5.27,-7.70,.253,5.296
55,1207881216,B. Zeigler-namoa,Bennett Zeigler-namoa,Zeigler-namoa,P,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,L,L,.380,.352,.200,.329,.410,.299,144,-.152,5,.889,3.38,3.47,-5.30,-.275,5.112
56,1188214784,J. Igawa,Jacob Igawa,Igawa,LF,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,R,R,.371,.296,.233,.296,.385,.332,187,.033,4,.871,3.36,4.04,-5.06,-.378,4.321
57,1086562304,B. Bobo,Brendan Bobo,Bobo,3B,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,L,R,.344,.336,.186,.341,.362,.212,160,.854,-1,.755,3.30,3.87,-2.05,1.250,-.576
58,1192539648,N. Sudyka,Noah Sudyka,Sudyka,SS,UC San Diego,UCSD,730348032,UC San Diego,BBC,R,R,.301,.274,.206,.327,.331,.211,114,.692,-6,.743,3.21,2.78,5.46,.224,-6.086
